short_name,player_positions,overall,potential,age,club_team_id,club_name,league_id,league_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
M. Caire,"RB, CB",67,67,34,110970,Oriente Petrolero,2017,Liga De Futbol Prof,52,Argentina,Right,4,3,1,Medium/Medium,69,53,59,65,64,58,15,7,13,6,7,
F. Di Tacchio,"CM, CDM",67,67,33,1847,Ascoli,32,Serie B,27,Italy,Left,3,2,1,Medium/High,49,50,59,61,62,84,15,5,7,15,7,
R. McGowan,"CB, CDM",67,67,33,100804,St. Johnstone,50,Premiership,195,Australia,Right,3,2,1,Medium/High,55,48,57,57,65,80,12,11,12,12,13,
Tomeu Nadal,GK,67,67,34,260,Tenerife,54,La Liga 2,45,Spain,Right,2,1,1,Medium/Medium,,,,,,,65,66,63,68,68,36
M. Sollbauer,CB,67,67,33,254,Rapid Wien,80,Bundesliga,4,Austria,Right,3,2,1,Medium/Medium,54,28,45,51,66,77,10,8,14,10,9,
I. ArmaÈ™,CB,67,67,35,113182,Voluntari,330,Liga 1,33,Moldova,Left,3,2,1,Low/Medium,34,40,50,46,67,78,7,16,12,6,12,
T. Aldred,CB,67,67,32,111395,Brisbane Roar,351,A-League,42,Scotland,Right,2,2,1,Medium/Medium,41,33,46,48,65,82,8,15,8,8,13,
O. Alonso,"CDM, CM",67,67,37,112885,Atlanta United,39,Major League Soccer,73,Cuba,Right,4,2,2,Medium/High,43,61,64,67,64,67,9,12,15,16,8,
Camora,"LB, LWB",67,67,36,110816,CFR Cluj,330,Liga 1,39,Romania,Left,3,2,1,Medium/High,67,56,66,60,63,69,12,14,9,12,8,
H. Dean,CB,67,67,31,1793,Reading,60,League One,14,England,Right,3,2,1,Medium/High,51,33,45,53,67,73,16,16,16,12,16,
E. Salomonsson,"RB, RM",67,67,34,319,IFK GÃ¶teborg,56,Allsvenskan,46,Sweden,Right,3,2,1,High/Low,69,65,65,65,63,67,13,15,11,10,12,
J. Baffoe,CB,67,67,30,321,Halmstad,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,67,35,51,51,64,74,10,8,6,12,8,
M. Albornoz,LWB,67,67,32,822,Vejle,1,Superliga,55,Chile,Left,3,3,1,High/Medium,65,49,63,67,62,68,10,10,9,10,10,
S. Bidaoui,"LW, RW",67,67,33,111657,Frosinone,31,Serie A,129,Morocco,Right,4,4,1,High/Medium,77,64,61,73,30,49,11,7,15,15,5,
G. Carey,"CM, LM, RM",67,67,34,100804,St. Johnstone,50,Premiership,25,Republic of Ireland,Left,3,4,1,High/High,75,69,69,70,60,74,15,14,15,6,12,
R. Sawyers,"CM, CDM",67,67,31,1961,Cardiff City,14,Championship,89,Saint Kitts and Nevis,Right,3,3,1,Medium/High,64,60,67,68,58,66,12,11,6,15,6,
HÃ©ctor Yuste,"CB, CDM",67,67,35,113146,ATK Mohun Bagan,2149,Super League,45,Spain,Right,4,2,1,Medium/Medium,53,52,62,57,66,79,8,14,10,11,11,
G. Nauber,CB,67,67,31,100632,Go Ahead Eagles,10,Eredivisie,21,Germany,Right,3,2,1,Medium/High,47,35,43,47,68,73,12,7,14,14,11,
L. Thy,ST,67,67,31,1914,PEC Zwolle,10,Eredivisie,21,Germany,Right,4,3,1,High/Low,69,67,60,65,46,75,7,6,14,7,12,
S. Ferguson,LWB,67,67,31,1797,Rotherham United,14,Championship,35,Northern Ireland,Left,3,3,1,Medium/Medium,70,56,63,65,61,67,7,6,7,9,9,
Y. Ngbakoto,"LM, ST, RM",67,67,31,822,Vejle,1,Superliga,110,Congo DR,Right,3,3,1,High/Medium,74,65,65,67,38,68,15,7,15,14,11,
D. Mayor,"LM, LW, CM",67,67,32,112260,Fleetwood Town,60,League One,14,England,Right,3,4,1,High/Low,65,61,65,70,49,66,13,6,8,14,10,
J. Shea,GK,67,67,32,1923,Luton Town,13,Premier League,14,England,Right,2,1,1,Medium/Medium,,,,,,,67,65,60,67,67,27
F. Kurto,GK,67,67,32,114604,Macarthur,351,A-League,37,Poland,Right,3,1,1,Medium/Medium,,,,,,,67,63,60,66,69,49
N. Brighenti,CB,67,67,33,110908,Catanzaro,32,Serie B,27,Italy,Right,3,2,1,Medium/Medium,70,40,51,54,67,71,11,9,11,6,11,
T. BÃ¸rven,ST,67,67,31,920,VÃ¥lerenga,41,Eliteserien,36,Norway,Right,4,2,1,High/Low,66,66,56,64,33,65,8,7,16,14,16,
H. Behrens,"CM, CAM",67,67,33,1829,VfB LÃ¼beck,2076,3. Liga,21,Germany,Right,3,3,1,Medium/Medium,48,66,63,65,67,75,6,9,16,6,10,
T. Lees,CB,67,67,32,1939,Huddersfield Town,14,Championship,14,England,Right,2,2,1,Low/Medium,54,36,55,61,66,74,13,14,14,9,15,
M. Correia,CB,67,67,34,580,Elversberg,20,2. Bundesliga,38,Portugal,Right,4,2,1,High/Medium,57,38,61,62,66,64,13,7,12,10,11,
D. Wilson,"CB, CDM",67,67,31,694,Colorado Rapids,39,Major League Soccer,42,Scotland,Left,2,2,1,Medium/Medium,43,39,54,57,65,80,14,7,10,6,10,
V. SarÄ±,CB,67,67,34,741,Antalyaspor,68,Super Lig,48,Turkey,Right,2,2,1,Medium/High,48,52,55,50,67,75,16,12,10,11,12,
S. Moore,GK,67,67,33,1800,Coventry City,14,Championship,14,England,Right,3,1,1,Medium/Medium,,,,,,,68,66,72,63,68,49
J. Raitala,"CB, LB, RB",67,67,34,100325,HJK,322,Veikkausliiga,17,Finland,Left,5,2,1,Medium/High,59,47,65,64,65,72,8,9,9,11,14,
D. Ward,ST,67,67,32,1939,Huddersfield Town,14,Championship,14,England,Left,4,3,1,High/High,66,68,62,66,38,70,13,11,15,11,8,
S. Okazaki,"CAM, ST, LM",67,67,37,680,Sint-Truiden,4,Jupiler Pro League,163,Japan,Right,4,3,2,Medium/High,47,67,66,69,50,64,10,6,14,6,6,
E. TaÅŸkÄ±ran,GK,67,67,33,113142,Alanyaspor,68,Super Lig,48,Turkey,Right,2,1,1,Medium/Medium,,,,,,,67,66,62,66,68,54
R. Varga,"LM, RM",67,67,33,113378,Sepsi,330,Liga 1,23,Hungary,Right,4,3,1,High/Medium,79,67,65,67,32,63,15,13,9,11,10,
M. NinkoviÄ‡,CAM,67,67,38,112427,Western Sydney Wanderers,351,A-League,51,Serbia,Right,3,4,1,Medium/Medium,53,63,66,70,48,62,11,11,8,6,13,
R. Cereceda,"LB, LM",67,67,38,101097,Audax Italiano,335,Primera Division,55,Chile,Left,4,2,1,High/Medium,67,51,65,66,61,64,9,15,10,9,13,
J. Granados,"LB, LWB",67,67,36,114611,Academia Puerto Cabello,2019,Primera Division,61,Venezuela,Left,2,2,1,High/Low,56,42,59,56,67,74,10,10,13,16,11,
L. Vilsvik,RWB,67,67,34,922,StrÃ¸msgodset,41,Eliteserien,36,Norway,Right,4,3,1,High/Medium,67,57,63,65,62,70,13,10,10,15,8,
A. Seculin,GK,67,67,32,1744,Modena,32,Serie B,27,Italy,Right,3,1,1,Medium/Medium,,,,,,,68,62,54,67,73,31
P. Testroet,ST,67,67,32,111239,Ingolstadt,2076,3. Liga,21,Germany,Right,4,3,1,Medium/Medium,66,68,57,62,39,76,12,10,15,16,12,
D. Lachman,CB,67,67,33,111399,Perth Glory,351,A-League,85,Curacao,Right,3,2,1,High/Medium,70,43,54,59,63,81,13,15,8,6,14,
B. Paulsen,CB,67,67,31,272,OB,1,Superliga,13,Denmark,Right,3,2,1,High/Medium,47,58,54,55,66,80,15,10,7,16,9,
K. Zohore,ST,67,67,29,111092,ÅšlÄ…sk WrocÅ‚aw,66,Ekstraklasa,13,Denmark,Left,3,3,1,Medium/Low,61,67,48,62,26,70,7,7,6,5,11,
F. Pogba,CB,67,67,32,113146,ATK Mohun Bagan,2149,Super League,118,Guinea,Left,3,2,1,Medium/Medium,57,41,57,55,64,81,8,10,8,11,11,
L. Brattan,"CDM, CM",67,67,33,111400,Sydney,351,A-League,195,Australia,Right,3,3,1,Medium/Medium,58,63,69,66,60,74,13,12,14,13,15,
S. KukuruzoviÄ‡,"CM, CDM",67,67,34,1862,Lausanne Sport,189,Super League,10,Croatia,Left,5,3,1,Medium/Medium,55,66,73,63,54,65,6,10,9,14,6,
B. Uaferro,CB,67,67,31,523,SaarbrÃ¼cken,2076,3. Liga,21,Germany,Right,4,2,1,Low/Medium,44,37,54,55,66,69,10,16,9,15,7,
R. Inglese,ST,67,67,31,50,Parma,32,Serie B,27,Italy,Right,3,3,1,Medium/Medium,48,69,51,64,26,67,14,11,10,13,7,
J. Guidetti,ST,67,67,31,433,AIK,56,Allsvenskan,46,Sweden,Right,3,4,2,High/High,43,68,65,66,37,72,12,13,14,6,11,
M. Gorgelin,GK,67,67,32,1738,Le Havre,16,Ligue 1,18,France,Left,2,1,1,Medium/Medium,,,,,,,66,65,68,67,67,47
M. Potzmann,"RB, RM, LM",67,67,29,256,Austria Wien,80,Bundesliga,4,Austria,Right,3,3,1,Medium/High,71,62,61,67,64,67,13,8,11,15,7,
Pedro Moreira,"CM, CDM",67,67,34,112513,Arouca,308,Liga Portugal,38,Portugal,Right,3,3,1,Medium/Medium,39,63,64,66,63,70,14,12,14,11,12,
L. Lacroix,CB,67,67,31,115716,U Craiova 1948,330,Liga 1,47,Switzerland,Right,3,2,1,Medium/Medium,44,42,56,56,65,80,9,9,15,15,11,
C. Coosemans,GK,67,67,30,229,Anderlecht,4,Jupiler Pro League,7,Belgium,Right,4,1,1,Medium/Medium,,,,,,,67,63,69,68,69,44
L. Henkinet,GK,67,67,30,232,Standard LiÃ¨ge,4,Jupiler Pro League,7,Belgium,Right,3,1,1,Medium/Medium,,,,,,,69,67,69,65,66,51
M. Silva,CB,67,67,34,111065,Real Salt Lake,39,Major League Soccer,60,Uruguay,Right,3,2,1,Medium/Medium,32,38,52,53,65,79,6,12,7,6,14,
C. Nelson,CB,67,67,30,91,Derby County,60,League One,14,England,Right,3,2,1,Medium/Medium,66,36,49,57,65,79,14,11,8,10,13,
B. Kopacz,"CB, RB",67,67,31,110749,ZagÅ‚Ä™bie Lubin,66,Ekstraklasa,37,Poland,Right,3,2,1,Medium/Medium,63,37,52,51,65,74,15,15,8,10,10,
B. PawÅ‚owski,"LM, CF",67,67,30,301,Widzew Lodz,66,Ekstraklasa,37,Poland,Right,3,3,1,High/Medium,82,65,63,68,28,62,14,13,13,14,11,
A. La Mantia,ST,67,67,32,112499,FeralpiSalÃ²,32,Serie B,27,Italy,Right,3,3,1,Medium/Low,54,66,41,61,29,78,15,8,7,9,7,
A. Musa,"RM, ST, LM",67,67,30,101041,Sivasspor,68,Super Lig,133,Nigeria,Right,3,3,2,Medium/Low,83,64,61,71,30,45,7,12,13,15,14,
Z. MacMath,GK,67,67,31,111065,Real Salt Lake,39,Major League Soccer,95,United States,Right,2,1,1,Medium/Medium,,,,,,,66,66,69,64,68,37
S. Thern,"CM, LM",67,67,30,112126,VÃ¤rnamo,56,Allsvenskan,46,Sweden,Right,4,3,1,High/Medium,75,64,66,70,58,71,7,7,13,14,10,
Erik MorÃ¡n,CDM,67,67,32,113356,Amorebieta,54,La Liga 2,45,Spain,Right,3,2,1,Medium/Medium,40,50,64,61,65,74,13,10,14,11,10,
T. Bruns,CM,67,67,31,100634,Heracles Almelo,10,Eredivisie,34,Netherlands,Right,3,3,1,Medium/Medium,66,60,68,65,58,65,13,11,13,14,9,
A. Behich,"LB, LWB",67,67,32,112224,Melbourne City,351,A-League,195,Australia,Left,4,3,1,High/Medium,76,60,61,67,61,66,14,11,11,14,15,
J. Verhoek,ST,67,67,34,487,OsnabrÃ¼ck,20,2. Bundesliga,34,Netherlands,Right,3,2,1,Medium/Medium,57,66,58,64,25,80,13,7,13,6,14,
T. RÃ¶cher,ST,67,67,32,111822,Wolfsberger AC,80,Bundesliga,4,Austria,Left,5,4,1,Medium/Medium,67,68,62,69,23,68,10,13,11,13,8,
J. Graham,"RM, RWB, LWB",67,67,28,1958,Leyton Orient,60,League One,14,England,Right,4,4,1,Medium/Medium,78,64,66,66,51,53,7,15,14,14,13,
M. Angha,CB,67,67,29,492,Wehen Wiesbaden,20,2. Bundesliga,47,Switzerland,Right,4,2,1,Medium/Medium,71,37,56,63,66,75,8,13,9,15,13,
N. Byrne,"RB, LB",67,67,31,114640,Charlotte,39,Major League Soccer,14,England,Right,3,3,1,High/Medium,78,50,62,67,61,67,8,8,7,10,11,
C. Forrester,"CM, CAM",67,67,30,423,St Patrick's,65,Premier Division,25,Republic of Ireland,Right,4,3,1,Medium/Medium,66,62,65,69,60,71,7,16,13,15,13,
IsaÃ­as,"CDM, CM",67,67,36,111393,Adelaide United,351,A-League,45,Spain,Right,3,3,1,Medium/Medium,43,53,65,70,61,73,12,15,13,8,11,
O. Turton,"RB, RWB, CB",67,67,30,1939,Huddersfield Town,14,Championship,14,England,Right,3,2,1,Medium/High,63,43,60,61,63,69,8,15,9,10,14,
S. Hoskins,LM,67,67,30,1930,Northampton Town,60,League One,14,England,Right,3,3,1,High/High,86,64,60,67,48,69,15,11,9,9,16,
D. Abramowicz,LB,67,67,32,111088,Radomiak Radom,66,Ekstraklasa,37,Poland,Left,3,2,1,High/Medium,75,58,65,55,61,77,7,14,15,13,10,
T. Kainz,"CDM, CM, RB",67,67,30,2017,Hartberg,80,Bundesliga,4,Austria,Right,3,2,1,Medium/High,71,58,65,65,64,67,7,12,7,9,13,
M. Zeitz,"CB, CDM",67,67,32,523,SaarbrÃ¼cken,2076,3. Liga,21,Germany,Right,3,2,1,Low/Medium,53,54,57,59,66,75,9,9,15,7,13,
Y. Touzghar,ST,67,67,36,614,Ajaccio,17,Ligue 2,145,Tunisia,Right,3,3,1,High/Low,62,67,61,67,24,63,14,14,7,15,12,
A. Knockaert,"RM, RW",67,67,31,110456,Valenciennes,17,Ligue 2,18,France,Left,3,4,1,High/Medium,67,65,67,71,47,60,14,14,8,11,8,
J. FjÃ³luson,CB,67,67,34,708,Hammarby,56,Allsvenskan,24,Iceland,Left,3,2,1,Medium/Medium,35,50,58,51,65,72,12,14,11,15,15,
N. Devlin,"RWB, RB",67,67,29,77,Aberdeen,50,Premiership,42,Scotland,Right,3,2,1,High/High,79,50,57,62,61,78,10,9,8,11,14,
C. Wyke,ST,67,67,30,1917,Wigan Athletic,60,League One,14,England,Right,3,2,1,High/Medium,54,67,56,63,37,76,16,12,15,10,12,
J. Alnwick,GK,67,67,30,1961,Cardiff City,14,Championship,14,England,Left,2,1,1,Medium/Medium,,,,,,,67,65,65,66,67,46
P. Bauer,CB,67,67,30,1801,Preston North End,14,Championship,21,Germany,Right,3,2,1,Low/Medium,32,43,51,42,68,70,12,14,6,15,11,
G. Hall,CB,67,67,31,1797,Rotherham United,14,Championship,14,England,Right,3,2,1,Medium/Medium,55,39,47,45,67,70,16,13,12,10,11,
C. McHugh,"CDM, CB, CM",67,67,30,113298,Goa,2149,Super League,25,Republic of Ireland,Left,2,2,1,Low/High,49,52,60,63,65,80,7,12,14,7,15,
B. Blume,"CM, CDM, CAM",67,67,31,15040,WSG Tirol,80,Bundesliga,13,Denmark,Right,3,3,1,High/Medium,72,60,65,69,61,70,6,9,10,12,16,
B. Thoelke,CB,67,67,31,523,SaarbrÃ¼cken,2076,3. Liga,21,Germany,Right,3,2,1,Low/Medium,34,34,47,53,68,65,8,16,14,8,15,
C. Jorquera,"CAM, CM",67,67,34,112707,Magallanes,335,Primera Division,55,Chile,Right,5,3,1,High/Medium,68,65,68,69,50,60,15,10,11,15,9,
P. Ngawa,"CB, RB",67,67,31,100087,OH Leuven,4,Jupiler Pro League,7,Belgium,Right,3,2,1,Medium/Medium,73,41,50,62,67,71,7,14,11,8,9,
J. Husband,"LB, CB",67,67,29,1926,Blackpool,60,League One,14,England,Left,3,2,1,Medium/Medium,65,49,58,64,67,70,8,10,14,14,15,
A. MacDonald,CB,67,67,30,77,Aberdeen,50,Premiership,14,England,Right,3,2,1,Medium/High,37,26,47,50,69,61,6,11,16,11,12,
LuÃ­s Martins,"LB, LM, CB",67,67,31,101112,Vancouver Whitecaps,39,Major League Soccer,38,Portugal,Left,2,3,1,High/Medium,68,60,66,65,62,63,10,13,12,11,10,
JeftÃ©,ST,67,67,29,110816,CFR Cluj,330,Liga 1,45,Spain,Right,3,3,1,Medium/Low,70,65,62,68,32,72,10,15,9,8,15,
M. Antonsson,ST,67,67,32,112427,Western Sydney Wanderers,351,A-League,46,Sweden,Right,3,2,1,Medium/Medium,77,65,53,64,38,72,10,8,12,10,13,
L. Jans,"RB, LB",67,67,30,110532,Waldhof Mannheim,2076,3. Liga,31,Luxembourg,Right,4,3,1,Medium/Medium,68,49,63,64,64,69,11,8,11,15,12,
M. Baudry,CB,67,67,33,1814,Laval,17,Ligue 2,107,Congo,Right,3,2,1,Medium/Medium,40,26,49,45,68,78,10,14,10,12,12,
R. Kristiansen,"LB, CB",67,67,35,919,Brann,41,Eliteserien,36,Norway,Left,3,2,1,Medium/Medium,73,47,58,62,63,68,15,7,15,10,12,
M. BjÃ¸rnbak,CB,67,67,31,417,Molde,41,Eliteserien,36,Norway,Right,3,2,1,Medium/Medium,37,47,57,50,65,78,11,13,8,8,10,
B. Carrasco,"RM, RW, ST",67,67,32,111328,Palestino,335,Primera Division,55,Chile,Right,3,3,1,High/Medium,89,63,62,68,42,63,9,15,16,9,10,
S. Ben Youssef,CB,67,67,34,210,Caen,17,Ligue 2,145,Tunisia,Right,3,2,1,Low/Medium,43,43,51,50,67,66,12,15,8,15,10,
L. Sadiku,"CDM, CB, CM",67,67,31,708,Hammarby,56,Allsvenskan,1,Albania,Right,3,2,1,Medium/High,35,57,57,60,66,66,16,15,14,6,14,
Neto Volpi,GK,67,67,30,111722,Deportes Tolima,336,Liga BetPlay,54,Brazil,Right,2,1,1,Medium/Medium,,,,,,,67,64,75,68,63,49
A. Bosetti,"ST, LM",67,67,30,115494,Annecy,17,Ligue 2,18,France,Right,3,3,1,High/Medium,75,69,63,70,32,64,10,10,11,12,6,
I. Santini,ST,67,67,34,894,ZÃ¼rich,189,Super League,10,Croatia,Right,3,3,1,Medium/Medium,41,71,53,56,40,73,10,9,11,11,15,
T. Lam,"CB, CDM",67,67,29,1914,PEC Zwolle,10,Eredivisie,17,Finland,Right,4,2,1,Medium/Medium,65,52,59,60,66,75,8,15,15,16,12,
K. PrzybyÅ‚ko,ST,67,67,30,693,Chicago Fire,39,Major League Soccer,37,Poland,Right,4,2,1,Medium/Medium,60,66,59,62,28,76,13,16,11,16,9,
J. de Kamps,"CDM, CM",67,67,31,113458,Sirius,56,Allsvenskan,34,Netherlands,Left,2,2,1,Medium/High,63,47,56,64,66,73,9,15,6,13,14,
P. Ankersen,RB,67,67,32,819,KÃ¸benhavn,1,Superliga,13,Denmark,Right,3,3,1,High/Medium,75,54,60,67,61,67,13,16,7,15,13,
E. Valentini,RB,67,67,34,171,NÃ¼rnberg,20,2. Bundesliga,21,Germany,Right,3,2,1,High/Medium,58,57,64,63,64,71,7,8,14,14,10,
J. Roye,"CDM, CM",67,67,34,1814,Laval,17,Ligue 2,18,France,Right,3,3,1,High/High,65,64,64,68,63,69,16,10,15,8,14,
P. Frick,ST,67,67,31,700,Elfsborg,56,Allsvenskan,46,Sweden,Right,2,2,1,High/Medium,74,65,58,60,36,83,7,15,12,8,15,
C. Maxwell,GK,67,67,32,1939,Huddersfield Town,14,Championship,50,Wales,Right,3,1,1,Medium/Medium,,,,,,,68,65,63,68,69,41
M. Matras,CB,67,67,32,114004,Stal Mielec,66,Ekstraklasa,37,Poland,Right,3,2,1,Medium/Medium,44,49,55,47,64,80,8,6,14,13,11,
A. MÃ¼hling,CM,67,67,30,110178,Sandhausen,2076,3. Liga,21,Germany,Right,4,3,1,Medium/Medium,65,68,68,70,53,68,9,12,15,14,7,
M. Modolo,CB,67,67,34,205,Venezia,32,Serie B,27,Italy,Right,4,2,1,Medium/High,58,46,50,48,66,76,8,5,7,6,15,
K. Triantafyllopoulos,CB,67,67,30,420,GÃ³rnik Zabrze,66,Ekstraklasa,22,Greece,Right,3,2,1,Medium/High,61,29,49,48,64,81,9,10,12,14,7,
J. AdÃ©oti,"CM, CB, CDM",67,67,34,1814,Laval,17,Ligue 2,99,Benin,Right,3,2,1,High/High,43,56,64,64,65,74,9,7,12,14,6,
A. Caceres,"CM, CDM",67,67,30,111400,Sydney,351,A-League,195,Australia,Right,4,3,1,Medium/Medium,70,62,66,70,58,72,10,9,12,9,15,
B. Saller,RB,67,67,30,543,Jahn Regensburg,2076,3. Liga,21,Germany,Right,3,3,1,High/Medium,78,51,61,64,63,66,14,14,7,10,11,
W. Bakhashwain,"CDM, CM",67,67,33,112408,Al Wahda,350,Pro League,183,Saudi Arabia,Right,2,2,1,Medium/Medium,58,43,59,63,65,77,15,9,11,12,8,
K. BoutaÃ¯b,"ST, CAM",67,67,36,110321,Pau,17,Ligue 2,129,Morocco,Right,3,4,1,Medium/Low,49,68,60,67,36,77,13,12,10,10,7,
S. Ã‡ikalleshi,ST,67,67,32,101033,Konyaspor,68,Super Lig,1,Albania,Right,4,2,1,Medium/High,61,67,59,61,35,71,11,7,7,9,9,
L. Zuffi,"CDM, CM",67,67,33,1713,Winterthur,189,Super League,47,Switzerland,Left,4,3,1,Medium/Medium,57,65,69,65,64,61,7,13,15,16,7,
A. Kamara,ST,67,67,29,1786,Randers,1,Superliga,138,Sierra Leone,Right,3,3,1,Medium/Medium,79,63,52,67,32,78,8,12,15,9,12,
M. Al Olayan,"RB, LB",67,67,28,607,Al Ittihad,350,Pro League,183,Saudi Arabia,Right,3,2,1,Medium/High,71,46,59,63,64,72,9,16,14,8,12,
C. Ãlvarez,"CAM, CM",67,67,30,110970,Oriente Petrolero,2017,Liga De Futbol Prof,52,Argentina,Right,3,3,1,High/Medium,75,57,67,70,52,57,7,14,13,11,9,
S. Sosa SÃ¡nchez,ST,67,67,29,110404,Banfield,353,Liga Profesional,60,Uruguay,Right,2,2,1,High/Low,59,67,45,63,24,70,11,5,6,14,6,
J. RadoÅ¡eviÄ‡,CDM,67,67,29,269,BrÃ¸ndby,1,Superliga,10,Croatia,Right,3,2,1,Medium/Medium,54,59,60,57,66,79,13,6,9,10,12,
E. YeÅŸilyurt,"RM, RB, LM",67,67,29,741,Antalyaspor,68,Super Lig,48,Turkey,Right,5,3,1,Medium/Medium,72,63,62,69,55,64,13,15,12,16,9,
M. Lorenz,LM,67,67,34,531,PreuÃŸen MÃ¼nster,2076,3. Liga,21,Germany,Left,2,3,1,Medium/Medium,74,56,69,65,48,69,15,7,7,6,9,
B. Garuccio,LB,67,67,28,114023,Western United,351,A-League,195,Australia,Left,3,2,1,High/Medium,77,52,62,66,61,67,12,16,9,9,10,
B. Zolinski,"LM, ST, RM",67,67,31,29,Kaiserslautern,20,2. Bundesliga,21,Germany,Right,3,2,1,Medium/Medium,70,64,61,65,59,74,8,12,12,11,12,
M. Romeo,"RB, RWB",67,67,27,1961,Cardiff City,14,Championship,63,Antigua and Barbuda,Right,3,2,1,High/Medium,82,47,60,64,62,69,8,13,12,15,7,
D. Nistor,"CAM, CM, CDM",67,67,35,110751,Universitatea Cluj,330,Liga 1,39,Romania,Right,4,3,1,Medium/Medium,64,65,68,67,59,69,9,13,10,8,14,
F. Lohkemper,"ST, LW, RW",67,67,28,171,NÃ¼rnberg,20,2. Bundesliga,21,Germany,Right,3,3,1,Medium/Medium,75,65,57,68,31,50,13,12,15,7,13,
Jefferson,"CM, CDM",67,67,29,110078,Petrolul 52,330,Liga 1,54,Brazil,Right,2,3,1,Medium/Medium,69,56,64,68,60,70,14,10,8,15,13,
Kim Seung Dae,"RM, CAM, ST",67,67,32,1474,Pohang Steelers,83,K League 1,167,Korea Republic,Right,4,3,1,High/Medium,77,60,62,66,44,57,7,7,8,11,11,
Kim Joo Won,CB,67,67,31,983,Suwon Bluewings,83,K League 1,167,Korea Republic,Right,4,2,1,Low/High,68,32,52,61,67,67,11,8,8,9,7,
S. Asamoah,"CDM, CM",67,67,29,115716,U Craiova 1948,330,Liga 1,144,Togo,Right,3,3,1,Medium/High,72,57,66,69,63,65,9,11,15,14,9,
S. Decarli,CB,67,67,31,110500,Eintracht Braunschweig,20,2. Bundesliga,47,Switzerland,Right,2,2,1,Low/Medium,58,34,50,54,67,70,16,6,9,9,14,
J. Ring,"RW, CF",67,67,31,1478,Jeju United,83,K League 1,46,Sweden,Left,3,3,1,Medium/Medium,79,61,65,68,47,68,8,8,15,7,10,
J. Brown,"ST, CAM",67,67,28,1962,Bristol Rovers,60,League One,82,Jamaica,Left,3,3,1,Medium/Medium,81,64,63,68,45,69,7,12,15,7,9,
A. Geipl,"CDM, CM",67,67,31,543,Jahn Regensburg,2076,3. Liga,21,Germany,Right,3,2,1,Medium/High,62,53,59,61,68,72,12,14,8,12,8,
A. Fletcher,ST,67,67,27,1807,Sheffield Wednesday,14,Championship,14,England,Right,2,3,1,Medium/Low,71,65,44,65,28,69,14,8,12,8,8,
A. Madu,CB,67,67,29,112139,Al Nassr,350,Pro League,183,Saudi Arabia,Left,3,2,1,Low/Medium,41,25,45,40,67,75,11,13,6,8,8,
K. Wriedt,ST,67,67,28,487,OsnabrÃ¼ck,20,2. Bundesliga,117,Ghana,Left,4,3,1,High/Low,65,66,57,66,30,78,8,9,15,13,11,
Y. Murillo,"CB, LB",67,67,30,114582,Deportivo Binacional,2020,Primera Division,56,Colombia,Left,2,2,1,Medium/Medium,75,40,57,61,66,75,7,14,8,8,15,
J. Nieto,"CM, CAM",67,67,30,111722,Deportes Tolima,336,Liga BetPlay,56,Colombia,Right,4,3,1,Medium/Medium,67,61,71,70,48,70,11,6,14,8,11,
J. Arboleda,"RB, LB",67,67,33,111722,Deportes Tolima,336,Liga BetPlay,56,Colombia,Right,2,3,1,Medium/Medium,79,40,61,62,62,71,9,15,7,9,13,
M. Laba,"CDM, CM",67,67,31,113044,Barracas Central,353,Liga Profesional,52,Argentina,Right,2,2,1,Low/Medium,66,50,61,63,63,72,13,14,9,15,14,
N. Berardo,"CB, LB",67,67,32,112707,Magallanes,335,Primera Division,52,Argentina,Left,2,2,1,Medium/Medium,63,46,63,58,64,76,13,12,8,10,12,
F. AlarcÃ³n,"CB, CM",67,67,33,110978,Cobresal,335,Primera Division,55,Chile,Right,2,2,1,Medium/Medium,43,30,38,39,67,80,8,9,7,12,14,
C. Elder,"LWB, LB, CB",67,67,28,91,Derby County,60,League One,195,Australia,Left,2,2,1,Medium/Medium,68,43,61,62,63,72,12,14,11,13,11,
N. MaksimoviÄ‡,CB,67,67,31,101028,Hatayspor,68,Super Lig,51,Serbia,Right,3,2,2,Medium/Medium,47,28,43,51,67,72,12,9,5,11,15,
D. Å½upariÄ‡,CB,67,67,31,111140,Portland Timbers,39,Major League Soccer,10,Croatia,Right,4,2,1,Medium/Medium,44,22,45,55,67,78,12,12,14,12,11,
R. Emond,ST,67,67,31,232,Standard LiÃ¨ge,4,Jupiler Pro League,7,Belgium,Right,3,2,1,High/High,47,69,56,62,30,67,16,12,6,10,14,
M. Leitgeb,"CDM, CM",67,67,35,111822,Wolfsberger AC,80,Bundesliga,4,Austria,Right,3,2,1,Medium/Medium,34,55,60,60,68,70,10,7,8,7,15,
M. Stefaniak,"LM, CAM, CM",67,67,28,506,Erzgebirge Aue,2076,3. Liga,21,Germany,Right,4,3,1,High/Low,75,60,66,69,29,61,13,11,15,7,10,
F. Kaufmann,"RW, CM, ST",67,67,30,110500,Eintracht Braunschweig,20,2. Bundesliga,21,Germany,Right,3,3,1,Medium/Medium,80,61,59,69,52,69,8,13,8,10,7,
